iter	Passed	Remaining
0	137	137056
1	138	69223
2	151	50286
3	169	42115
4	179	35795
5	181	30145
6	190	26952
7	197	24541
8	199	21982
9	202	20076
10	213	19235
11	215	17735
12	216	16458
13	218	15366
14	230	15106
15	232	14301
16	243	14108
17	247	13503
18	248	12845
19	258	12687
20	260	12125
21	261	11606
22	262	11134
23	263	10699
24	264	10302
25	265	9935
26	274	9898
27	277	9631
28	278	9333
29	280	9054
30	291	9098
31	292	8860
32	294	8640
33	296	8414
34	305	8429
35	307	8236
36	308	8036
37	310	7848
38	318	7843
39	319	7673
40	321	7514
41	322	7351
42	323	7196
43	324	7049
44	325	6906
45	330	6851
46	333	6766
47	334	6641
48	336	6527
49	337	6415
50	339	6312
51	340	6204
52	345	6182
53	347	6082
54	348	5982
55	349	5887
56	350	5793
57	351	5709
58	352	5624
59	353	5540
60	354	5459
61	355	5381
62	360	5362
63	363	5311
64	364	5240
65	365	5171
66	366	5102
67	367	5037
68	368	4977
69	370	4917
70	377	4934
71	380	4904
72	381	4845
73	382	4788
74	383	4733
75	384	4678
76	385	4625
77	388	4597
78	390	4552
79	393	4521
80	394	4472
81	395	4423
82	395	4372
83	397	4331
84	398	4292
85	400	4253
86	408	4285
87	409	4243
88	410	4202
89	411	4161
90	412	4121
91	413	4081
92	414	4043
93	415	4006
94	420	4002
95	421	3969
96	423	3946
97	424	3911
98	425	3876
99	427	3843
100	428	3809
101	429	3778
102	430	3747
103	431	3716
104	438	3741
105	440	3717
106	441	3688
107	443	3660
108	445	3638
109	446	3615
110	448	3590
111	449	3564
112	452	3549
113	453	3523
114	454	3496
115	455	3470
116	456	3442
117	457	3417
118	458	3392
119	464	3407
120	465	3384
121	466	3359
122	467	3335
123	468	3312
124	469	3288
125	470	3267
126	471	3243
127	472	3221
128	476	3220
129	478	3201
130	481	3192
131	482	3171
132	483	3150
133	484	3130
134	485	3109
135	486	3089
136	487	3069
137	488	3050
138	494	3065
139	495	3046
140	496	3027
141	497	3006
142	498	2989
143	499	2971
144	500	2953
145	501	2935
146	502	2918
147	503	2901
148	508	2905
149	511	2897
150	512	2881
151	513	2864
152	514	2847
153	515	2831
154	516	2815
155	517	2800
156	518	2785
157	525	2799
158	526	2785
159	527	2771
160	528	2754
161	529	2739
162	530	2724
163	531	2710
164	532	2695
165	533	2681
166	537	2681
167	541	2679
168	542	2666
169	544	2656
170	545	2642
171	546	2628
172	547	2615
173	548	2601
174	549	2588
175	555	2602
176	556	2588
177	557	2575
178	558	2562
179	559	2549
180	560	2537
181	561	2525
182	562	2513
183	563	2500
184	567	2501
185	569	2491
186	572	2488
187	573	2476
188	574	2464
189	575	2453
190	576	2441
191	577	2430
192	578	2418
193	579	2407
194	585	2418
195	586	2407
196	587	2396
197	588	2385
198	590	2375
199	591	2364
200	592	2353
201	593	2342
202	594	2332
203	595	2321
204	599	2323
205	600	2314
206	601	2305
207	604	2301
208	605	2291
209	607	2283
210	608	2274
211	609	2265
212	610	2255
213	611	2246
214	613	2238
215	614	2229
216	615	2220
217	616	2210
218	617	2201
219	618	2191
220	619	2182
221	620	2173
222	624	2177
223	627	2174
224	629	2166
225	630	2159
226	631	2150
227	632	2141
228	633	2132
229	634	2123
230	635	2115
231	641	2124
232	642	2116
233	643	2107
234	644	2099
235	645	2090
236	647	2083
237	648	2076
238	649	2069
239	650	2061
240	652	2055
241	655	2054
242	656	2046
243	658	2038
244	659	2031
245	660	2025
246	661	2017
247	662	2009
248	669	2018
249	670	2010
250	671	2002
251	672	1995
252	673	1987
253	674	1980
254	675	1972
255	676	1965
256	677	1957
257	681	1959
258	682	1954
259	685	1950
260	686	1943
261	687	1936
262	688	1929
263	689	1922
264	690	1915
265	691	1908
266	692	1902
267	694	1895
268	695	1889
269	696	1882
270	697	1875
271	698	1868
272	699	1862
273	700	1855
274	701	1848
275	702	1842
276	703	1835
277	707	1837
278	710	1836
279	711	1830
280	712	1823
281	713	1817
282	714	1810
283	715	1804
284	716	1798
285	717	1792
286	718	1785
287	720	1780
288	721	1775
289	722	1769
290	723	1763
291	724	1757
292	725	1751
293	726	1745
294	728	1739
295	729	1733
296	733	1736
297	735	1733
298	737	1728
299	738	1722
300	739	1716
301	740	1711
302	741	1705
303	742	1699
304	743	1693
305	748	1697
306	750	1694
307	752	1689
308	753	1684
309	754	1679
310	755	1673
311	756	1667
312	757	1662
313	758	1656
314	759	1651
315	761	1647
316	763	1645
317	764	1640
318	765	1634
319	766	1629
320	767	1623
321	768	1618
322	769	1613
323	770	1608
324	776	1612
325	779	1612
326	780	1607
327	781	1601
328	782	1596
329	783	1591
330	784	1586
331	785	1581
332	786	1576
333	791	1577
334	794	1576
335	795	1571
336	796	1566
337	797	1561
338	798	1556
339	799	1551
340	800	1546
341	801	1541
342	807	1547
343	808	1542
344	810	1537
345	811	1533
346	812	1528
347	813	1524
348	814	1519
349	815	1515
350	817	1510
351	821	1511
352	822	1507
353	824	1504
354	825	1500
355	826	1495
356	828	1492
357	832	1492
358	838	1496
359	839	1492
360	840	1487
361	841	1483
362	844	1481
363	845	1478
364	847	1473
365	852	1477
366	855	1475
367	857	1472
368	858	1468
369	859	1464
370	861	1460
371	862	1455
372	863	1451
373	865	1448
374	866	1444
375	867	1439
376	869	1437
377	871	1433
378	872	1429
379	877	1431
380	878	1427
381	879	1423
382	880	1419
383	882	1415
384	885	1413
385	886	1409
386	887	1405
387	893	1409
388	894	1405
389	895	1401
390	896	1396
391	898	1392
392	899	1389
393	901	1385
394	902	1381
395	903	1377
396	908	1379
397	909	1376
398	913	1376
399	915	1373
400	917	1370
401	923	1374
402	925	1370
403	926	1367
404	928	1364
405	930	1361
406	931	1357
407	933	1354
408	935	1351
409	936	1347
410	937	1344
411	940	1342
412	950	1351
413	952	1347
414	953	1343
415	954	1339
416	956	1337
417	968	1348
418	969	1344
419	970	1340
420	972	1337
421	986	1351
422	987	1347
423	1000	1359
424	1002	1356
425	1014	1367
426	1047	1406
427	1049	1402
428	1051	1399
429	1097	1454
430	1099	1451
431	1108	1457
432	1110	1454
433	1113	1452
434	1114	1448
435	1126	1456
436	1127	1452
437	1129	1449
438	1130	1445
439	1132	1441
440	1141	1446
441	1142	1442
442	1144	1438
443	1145	1434
444	1173	1463
445	1174	1459
446	1176	1455
447	1177	1451
448	1179	1447
449	1180	1443
450	1187	1445
451	1189	1442
452	1191	1438
453	1193	1434
454	1195	1431
455	1208	1441
456	1209	1437
457	1211	1433
458	1219	1437
459	1221	1433
460	1235	1444
461	1237	1440
462	1238	1436
463	1240	1432
464	1241	1428
465	1245	1427
466	1249	1426
467	1250	1422
468	1252	1418
469	1253	1414
470	1256	1410
471	1264	1414
472	1266	1410
473	1267	1406
474	1268	1402
475	1270	1398
476	1271	1394
477	1278	1396
478	1280	1392
479	1282	1388
480	1283	1384
481	1284	1380
482	1287	1378
483	1294	1379
484	1312	1393
485	1313	1389
486	1315	1385
487	1316	1381
488	1322	1382
489	1324	1378
490	1325	1374
491	1327	1370
492	1328	1366
493	1330	1362
494	1332	1358
495	1333	1355
496	1335	1351
497	1336	1346
498	1337	1342
499	1338	1338
500	1341	1335
501	1350	1339
502	1351	1335
503	1353	1331
504	1354	1327
505	1355	1323
506	1356	1319
507	1357	1314
508	1365	1317
509	1368	1314
510	1369	1310
511	1370	1306
512	1371	1302
513	1372	1297
514	1383	1303
515	1386	1300
516	1387	1295
517	1388	1291
518	1395	1292
519	1396	1289
520	1399	1286
521	1400	1282
522	1401	1277
523	1402	1273
524	1409	1275
525	1411	1271
526	1412	1267
527	1413	1263
528	1415	1260
529	1416	1256
530	1417	1251
531	1418	1247
532	1423	1247
533	1426	1244
534	1427	1240
535	1428	1236
536	1429	1232
537	1430	1228
538	1431	1224
539	1432	1220
540	1433	1216
541	1440	1216
542	1441	1212
543	1442	1208
544	1443	1204
545	1444	1200
546	1445	1196
547	1445	1192
548	1447	1188
549	1448	1184
550	1452	1183
551	1454	1180
552	1456	1177
553	1457	1173
554	1458	1169
555	1459	1165
556	1460	1161
557	1461	1157
558	1462	1154
559	1463	1150
560	1469	1150
561	1470	1146
562	1471	1142
563	1472	1138
564	1474	1134
565	1475	1131
566	1476	1127
567	1477	1123
568	1478	1119
569	1479	1115
570	1483	1114
571	1485	1111
572	1487	1108
573	1488	1104
574	1489	1100
575	1490	1096
576	1491	1093
577	1492	1089
578	1493	1086
579	1499	1086
580	1501	1082
581	1502	1079
582	1503	1075
583	1505	1072
584	1506	1068
585	1507	1064
586	1508	1061
587	1509	1057
588	1513	1056
589	1516	1053
590	1517	1050
591	1518	1046
592	1519	1042
593	1520	1039
594	1521	1035
595	1522	1032
596	1523	1028
597	1530	1028
598	1531	1025
599	1532	1021
600	1533	1017
601	1534	1014
602	1535	1010
603	1536	1007
604	1537	1003
605	1538	1000
606	1539	996
607	1543	995
608	1545	992
609	1547	989
610	1548	986
611	1550	982
612	1551	979
613	1552	976
614	1553	972
615	1555	969
616	1557	966
617	1558	963
618	1559	959
619	1560	956
620	1564	955
621	1567	952
622	1568	949
623	1569	945
624	1570	942
625	1571	938
626	1572	935
627	1573	932
628	1574	928
629	1581	928
630	1582	925
631	1583	922
632	1584	918
633	1585	915
634	1587	912
635	1589	909
636	1594	908
637	1596	905
638	1598	903
639	1600	900
640	1601	896
641	1602	893
642	1603	890
643	1604	887
644	1605	883
645	1609	881
646	1610	878
647	1611	875
648	1612	871
649	1613	868
650	1614	865
651	1615	862
652	1620	861
653	1623	858
654	1624	855
655	1625	852
656	1626	849
657	1627	845
658	1628	842
659	1629	839
660	1630	836
661	1637	836
662	1638	832
663	1639	829
664	1640	826
